Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
120 588904.3132 9724852.1030 -0.2500 100.3000 100.5500 100.0500 0.5000 71.7969 44.6000 42.7000 1.4300 0.5000 29.0000 1.3700 24.3500 14.8864 39.3100 38.1800 1.4010 0.6990 36.2850 1.2290 21.9890 50 1 1
120 588904.3132 9724852.1030 -0.7500 99.8000 100.0500 99.5500 0.5000 62.3213 53.7000 50.2000 1.3700 0.7000 15.7000 1.4400 28.4100 24.6256 53.8350 52.7690 0.9970 0.5000 15.5980 1.1930 28.5840 50 1 1
120 588904.3132 9724852.1030 -1.2500 99.3000 99.5500 99.0500 0.5000 58.2973 55.3000 49.4000 1.5300 1.1000 12.7000 1.2700 29.3300 26.3671 51.5610 50.3310 1.5620 0.7430 18.2800 1.0900 27.5630 50 1 1
120 588904.3132 9724852.1030 -1.7500 98.8000 99.0500 98.5500 0.5000 70.2223 57.9000 56.9000 1.8400 1.0000 7.9000 1.2900 30.5300 20.0855 55.3430 54.9660 1.4410 1.0620 12.3640 1.0670 29.4120 50 1 1
120 588904.3132 9724852.1030 -2.2500 98.3000 98.5500 98.0500 0.5000 43.3109 55.7000 52.8000 3.8800 3.2000 9.6000 1.2000 29.1600 16.7882 53.7350 50.4420 3.5640 2.1220 13.5170 1.1250 27.9270 50 1 1
120 588904.3132 9724852.1030 -2.7500 97.8000 98.0500 97.5500 0.5000 61.2973 56.8000 54.5000 3.6800 2.7000 8.0000 1.0700 29.5900 19.0143 55.0640 48.5470 2.9630 1.5330 11.4940 0.6930 28.8920 50 1 1
120 588904.3132 9724852.1030 -3.2500 97.3000 97.5500 97.0500 0.5000 50.3090 56.6000 49.8000 7.0700 5.8000 5.7000 1.1000 28.8200 18.6901 54.4590 50.8370 3.9340 2.9030 12.3110 0.5500 27.8460 50 1 1
121 588904.6232 9724857.4830 -0.2500 100.4300 100.6800 100.1800 0.5000 60.5951 46.4000 44.5000 1.8600 0.8000 25.0000 1.4600 25.3900 17.8134 44.4990 43.3560 2.0170 0.6710 27.8740 1.3290 24.5060 50 1 1
121 588904.6232 9724857.4830 -0.7500 99.9300 100.1800 99.6800 0.5000 64.1698 56.4000 51.2000 2.0400 1.3000 9.9000 1.3800 30.1800 21.5647 54.0270 52.0640 1.4890 0.6000 14.5290 1.0140 29.0380 50 1 1
121 588904.6232 9724857.4830 -1.2500 99.4300 99.6800 99.1800 0.5000 33.6314 53.0000 45.1000 7.5300 6.6000 10.5000 1.1100 27.5700 23.3160 50.6900 47.0800 4.7990 3.4120 15.7410 0.8940 27.2540 50 1 1
